url,title,author,view,recommend,tag,synopsis,count,img
https://novelpia.com/novel/368370,자산 5천억 TS녀라 회사 때려칩니다,웅나나나나,"293,543","16,094","#현대
#일상
#TS
#재벌
#부자
#착각","[지금 이 빨간 버튼을 누르면 즉시 합법적인 세후 500억을 받습니다. 대신, 50퍼센트 확률로 당신의 성별이 바뀌게 됩니다. 누르시겠습니까?]

그리고 그 버튼을 열 번이나 눌렀다.",38,https://images.novelpia.com/imagebox/cover/8dc19cc9c809311377fd62f05105d110_358902_ori.file
https://novelpia.com/novel/367469,흑막 교도소장으로 착각당했다,사제락,"647,671","37,756","#판타지
#중세
#하렘
#집착
#착각","재앙급 죄수들 교화를 마침내 성공했다.
그런데 다들 밖으로 나갈 생각이 없어 보인다...

아니, 너희들 전부 석방이라니까?",48,https://images.novelpia.com/imagebox/cover/428a088d80bdb79850f7cae23ab44211_415369_ori.file
https://novelpia.com/novel/346687,스마트폰 IN 무림학관,대롱닥,"2,072,074","199,941","#무협
#판타지
#하렘
#아카데미
#게임빙의
#성장형먼치킨
#정■통■무협
#커뮤니티","[뜌땨이도 무림고수가 될 수 있는 통합모드팩.zip]
스마트폰이 있는 모드 떡칠 사이비 무협 게임에 빙의했다.",141,https://images.novelpia.com/imagebox/cover/e4a6fded46e42a8c7bd72a22311b1603_3854209_ori.file
https://novelpia.com/novel/353281,먼치킨 귀환용사 스트리밍,유다트,"1,076,680","60,855","#현대
#라이트노벨
#하렘
#일상
#힐링
#코미디
#먼치킨
#인터넷방송
#스트리밍
#약한남녀역전","10년간 이세계에서 구르며 마왕을 죽였다.

그래서 지구로 돌려 보내달라는 소원을 빌었는데....

뭐? 지구에 핵전쟁이 터졌다고???

전쟁이라면 이제 지긋지긋했던 나는 여신으로부터 색다른 제안을 받았다.

내가 살던 세계, 그러니까.
지구와 한없이 유사한 평행 세계에 보내주겠다는 것!

그런데...

도착한 평행 세계가 뭔가 이상하다....!?



* 표지는 자체 제작입니다. 책임은 작가에게 있습니다.",92,https://images.novelpia.com/imagebox/cover/a8bfb046b8a14577b31e0755ed736cd8_304579_ori.file
https://novelpia.com/novel/316286,전쟁 명장으로 착각당했다,애완작가,"10,508,504","717,813","#판타지
#전생
#하렘
#근대
#착각
#전쟁
#정치
#코미디","패배가 확정된 제국의 참모 장교가 되었다.

의무 복무 기한이 8년인 제국에서 탈출하는 방법은 불명예 전역 뿐이다.

그런데...

“기뻐해도 좋다, 소위. 네 직감이 정확히 맞아떨어진 덕분에 우리 군은 피해를 사전에 예방할 수 있었다.”

전역하려고 발버둥칠수록 내 고과가 높아지고 있었다.",293,https://images.novelpia.com/imagebox/cover/f7bfbbd2f7166ebc383dbfc53996f343_419430_ori.file
https://novelpia.com/novel/358490,우주시대의 외신은 성좌로 활동합니다,붉은부기,"1,078,428","76,177","#SF
#판타지
#전생
#일상
#외신
#성좌
#먼치킨
#크툴루
#세계창조
#창조신",죽었다가 환생하니 몸에서 별이 보인다.,91,https://images.novelpia.com/imagebox/cover/384f3bd10c125225b3195c502ed7e20e_96543_ori.file
https://novelpia.com/novel/372302,추방 당해서 갤러리를 비활성화 했다,냐무냐무,"343,531","20,097","#판타지
#하렘
#갤러리
#커뮤니티
#먼치킨
#후회
#집착
#이세계
#착각","자, 어디서부터 설명하는 게 좋을까?

게임 광고를 봤는데 이세계로 떨어진 것?
아니면 이세계로 떨어졌는데, 무가치한 인간이라고 추방당한 것?
그것도 아니라면…

[경고! - 오류 발생]
- 인간계와 마계 모두 관리자가 없는 상태입니다.
-> 두 갤러리의 권한을 이시우님에게 이전합니다.
[이전 완료 되었습니다.]

마계랑 인간계 갤러리의 주딱이 되었다는 것?
그래서 인간계 갤러리를 비활성화 했다.


표지 및 삽화는 모두 직접 그렸습니다!",35,https://images.novelpia.com/imagebox/cover/692ccad157c9557ef111e6ae883bb239_366494_ori.file
https://novelpia.com/novel/326040,마법 좋아좋아좋아,두유하이볼,"2,686,994","294,398","#판타지
#TS
#마법사
#빙의",마법이 너무 좋아요,179,https://images.novelpia.com/imagebox/cover/6c354ea2fc591f205156cc854e2e8745_384267_ori.file
https://novelpia.com/novel/364549,장르를 미연시로 착각해버렸다.,출렁이,"800,178","57,561","#현대
#하렘
#나데나데
#빙의
#호러
#착각
#괴이
#공포
#코미디
#먼치킨","""있잖.아. 나. 예뻐.?""

""예쁜데요?""

""진.짜로?""

""네, 저랑 연애하실레요?""

""……정.말로?""


공포게임의 장르를 미연시로 착각해버렸다.

뭐, 좋으니 딱히 상관 없으려나.",49,https://images.novelpia.com/imagebox/cover/2da99b8c33d569fe9a35d95a8cea4613_280634_ori.file
https://novelpia.com/novel/330363,부캐 키우는 황태자님,모노카카,"3,203,995","327,365","#판타지
#하렘
#착각
#먼치킨","월화수목금금금.

휴일도 로망도 없는 황태자의 인생 속, 악마를 만났다.


“─깨워줘서 고마워. 부디 나에게, 당신의 소원을 말해주지 않을래?”

“내게 휴가를 줄 수 있나?”

“뭐?”

“부탁하네! 자네가 내 자유로운 여가 시간을 보장해 준다면 가능한 선에서 뭐든 이뤄주겠네! 돈? 명예? 권력? 뭘 원하지?”



*표지는 환바림님께서 그려주셨습니다!",164,https://images.novelpia.com/imagebox/cover/015c2fb1508a048c4c9ceca2c8593971_281242_ori.file
