url,title,authors,genre,views,likes,weekday,synopsis,tags
https://webtoon.kakao.com/content/NCT-Dream-Contact/3681,[단편] NCT: Dream Contact,"SM Entertainment, 김호애, ZQ, 약국, 서글",판타지,34.3만,"3,214",수,"NCT 꿈 세계관을 바탕으로 한 소년들의 특별한 경험을 담은 옴니버스 웹툰. <'Prologue'> 어린 시절의 무의식과 조우하게 된 소년. 트라우마를 극복하고 현실의 꿈을 향해 나아가고자 한다. <Ep.1 '꿈속의 기억'> 소년들의 기억 속에 자리 잡고 있는 공통의 숫자. 그 정체를 밝히기 위해 공유몽 속으로 들어간다. <Ep.2 '꿈속의 감정'> 소년은 꿈과 연결된 방에서 누군가의 비밀을 보게 된다. 자신의 비밀 또한 들키게 될까 두려움을 느끼지만, 이해해 주는 누군가를 만날 수 있지 않을까 생각하게 된다. <Ep.3 ‘소년, 소년을 만나다’> 일본 수학여행에서 길을 잃었던 기억이 트라우마로 남아 꿈에서 반복되는 소년. 하지만 의지대로 움직이면 꿈속 상황이 바뀔 수 있다는 것을 알게 되고, 그곳에서 만난 소년과 축제를 즐긴다. <Ep.4 ‘나비와 금붕어’> 그림 그리는 걸 좋아하는 소년. 민들레 홀씨를 따라 걷던 중 꿈속 장면과 비슷한 상황을 마주한다. 꿈인지 현실인지 구분할 수 없어 혼란스러워하던 때, 멀리서 휘슬 소리가 들려온다.","환상적인, 따뜻한, 판타지 드라마"
https://webtoon.kakao.com/content/Oh-마이-서방님/2995,Oh! 마이 서방님,"어깽, 도르맹, 연담",로맨스,536.9만,11.9만,,"*이 작품은 가상의 조선을 배경으로 하는 퓨전사극이며, 작품에 등장하는 인물 및 설정은 허구입니다. ====================================== 한양 최고의 기생인 도화. 하지만 그녀는 기생의 삶을 버리고 사랑하는 남자와 야반도주하려 한다. 하지만 돌아온 것은 배신! '당신이 어째서…?' 이유를 알지 못한 채, 그의 손에 살해당한 도화는 차가운 물속에 빠지고… 눈을 뜨니, 다른 사람이 되어 있다?! '마님? 내가 마님이라고?' 도성을 떠들썩하게 했던 연애담의 주인공, ‘홍서혜’가 되어 있었던 것! '세상에, 세상에. 내가 양반집 마님이라니!!!' 땡 잡았다, 천한 기생년 팔자 벗어버리고 잘난 남편 사랑받으며 호의호식하자…! 라고 생각한 것도 잠시. 어라? 이 부부, 소문이랑은 다르다? 도성을 흔들어놓으셨던 뜨거운 열애담은 다 어디 가고, 이렇게 찬바람만 부는 거야?! 좋아, 뭐가 어떻게 된 건지는 모르겠지만… 천하제일의 기생이었던 나, 도화. 남편부터 꼬셔보겠습니다! <Oh, 마이 서방님>","발랄한, 통쾌한, 로맨스"
https://webtoon.kakao.com/content/PT맨-강코치/1091,PT맨 강코치,박성철,드라마,"4,404만",15.7만,,"남자들이여, PT맨 강코치와 근육을 만들어봅시다.","유익한, 공감되는, 드라마"
https://webtoon.kakao.com/content/RAINBOW/4122,RAINBOW,강여름,판타지,334.4만,8만,일,"지도에도 없고 위성에도 잡히지 않는 숨겨진 파라다이스 '무지개 섬' 이 섬을 지키는 파란 히어로 '무지개' 그리고, 소소하고 평온한 행복을 즐기는 평범한 훌라 걸 '김순이', 화려하고 아름다운 소울시티의 히어로 '오로라' 너무나 다른 이 세 명이 만들어가는 사랑과 성장 이야기.","설레는, 따뜻한, 판타지 드라마"
https://webtoon.kakao.com/content/SAVAGE/1809,SAVAGE,빨간표,무협,732.6만,3.8만,,"야만의 시대, 욕망을 향한 짐승의 몸부림이 시작된다.","처절한, 역동적인, 액션/무협"
https://webtoon.kakao.com/content/S급-집사/4580,S급 집사,이승준,학원/판타지,6.8만,"3,222",수,"가상현실 게임 ‘메타리아’의 공대장이자, 현실에서는 두 마리 반려묘의 보호자인 김집사. 어느 날, 게임 속에 정체불명의 보스 몬스터가 등장해 그를 강제로 ‘집사’ 직업으로 전직시켜 버린다. 어쩔 수 없이 몬스터의 수발을 들며 집사 노릇을 하던 김집사. 그러던 중, 그는 믿기 힘든 진실을 알게 된다. “세상에… 고양이가 게임에 접속했다고?!” 반려묘 삐쭈가 게임 속에 들어온 것이다. 하지만 충격은 거기서 끝이 아니었다. 김집사를 집사로 간택하고 소통해온 ‘주인님’의 정체는 바로 어둠의 화신 칼리나스. 이 세계의 중심이 되어야 할 그가, 게임에 접속한 삐쭈의 몸에 갇혀 아무것도 할 수 없는 처지였던 것! 이제 집사가 해야 할 일은 명확해졌다. 집사인 김집사가 대신 어둠의 사명을 수행해야 한다. 그런데 김집사, 화신의 사명은 아무래도 상관없는 건가?? 삐쭈와 판타지 세계의 모험을 함께 할 수 있다는 사실에 행복할 뿐인 거냐??!!","귀여운, 역동적인, 학원/판타지"
https://webtoon.kakao.com/content/To-From/148,To.From,오곡,학원/판타지,"1,306.6만",2만,,"우연히 낯선 세계에 발을 딛은 소년, 그곳에서 만난 것은..?","기발한, 통쾌한, 학원/판타지"
https://webtoon.kakao.com/content/VR히어로/3322,VR히어로,"백민기, 히어로스튜디오",학원/판타지,191.5만,7.3만,수,"현실에서는 매우 어렵게 살아가는 주인공, 가상 세계인 비트월드에 접속하게 된 후 그의 인생이 180도 바뀌게 된다. 뜻밖에 얻은 무기로 인해 최강자가 되어 많은 인기와 부를 얻게 되어 행복한 나날을 보내지만, 사실 만재는 엄청난 대가를 치르고 있었다. 강함과 죄책감 그 거부할 수 없는 관계 속에서 과연 주인공은 어떻게 될 것인지... 당신이라면 과연 어떤 선택을 할 것인가","역동적인, 몰입되는, 학원/판타지"
https://webtoon.kakao.com/content/X같은-우리/4492,X같은 우리,정언,로맨스,98.3만,"8,274",화,"한국대 영화과 대표 '똥차 콜렉터' 민우리. 더 이상의 연애는 그만! 언제나 끝이 씁쓸한 연애에 지친 우리는 남자보단 돈과 명예라며 졸업 작품에 집중하기로 한다. '아무리 외로워도 누구 만날 생각은 하지마. 졸업식 때 그 남자 때문에 죽고 싶은 게 아니라면 말이야.' 하지만 이윽고 우리에게 도착한 의문의 문자 한 통. 앞으로 사귈 남자가 자신에게 큰 위협이 될 거라는 불길한 예언이 담긴 내용이었는데... 단순히 장난 문자라고 여기기엔 정말로 문자가 현실에서 일어나는 일들을 하나 둘 맞히기 시작한다. 그리고 문자를 받은 얼마 후, 거짓말처럼 우리와 자꾸 엮이게 되는 세 명의 남자들. 이들 중 우리의 미래 남자친구가 될 사람은 누굴까? '인생 최악의 똥차'를 막을 기회가 주어진 우리의 파란만장한 남친 찾기 여정","설레는, 발랄한, 로맨스"
https://webtoon.kakao.com/content/s_woman2/224,수퍼우먼2,임강혁,학원/판타지,"1,682.2만",2.8만,,"모든 것이 사라진 지금, 그녀 앞에 펼쳐진 또 다른 세계는?! 본격 히어로 만화","역동적인, 압도되는, 학원/판타지"
