seriesId,title,authors,category,subcategory,description,pubPeriod,ageGrade,viewCount,ratingCount,ratingSum,thumbnail,tags,totalCount
59787320,환생표사,"스튜디오 이너스,신갈나무",웹툰,무협,"내 꿈은 멋진 말을 타고 표물을 호송하는 표사가 되는 것이었다.
그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.
표행 중에 만난 산적들에게 뒈지기 전까지는.

그런데…

‘내가 사공자 이정룡이 되었다고?!’

죽었다 깨어나 보니 천룡표국의 이름난 천덕꾸러기 금수저 막내아들로 다시 태어나 있는 것이 아닌가.

호구 이정룡, 이번 생은 최고의 표사로 거듭나리라!",금,All,10887810,41157,402773,//page-images.kakaoentcdn.com/download/resource?kid=6YQD3/hALRW9K9fc/KsGvZUZVenl9uHDAM6zkg1&filename=o1,"정통, 무림, 성장, 회귀, 권, 표국, 상인",118
66421875,BJ악역영애,"빗잘,나린,한이림",웹툰,로판,"출시를 앞둔 역하렘 게임 <신의 유희>의 개발자였던 나.
어느 날 갑자기 정신을 잃고 눈을 떴을 때, 내가 만들고 있던 게임의 악역 공녀 [테레제]에 빙의해 있다.

[방송을 시작합니다.]

방송 설정은 내가 만든 게임에 없는 설정이었다.
혼란에 빠진 내 앞에 새빨간 양복을 입은 무지개색 머리의 남자가 나타났다.

“저는 채널 관리자인 오즈월드입니다. 당신이 살던 세계로 빗댄다면  방송국 PD 같은 거죠. 단, 대상이 인간이 아닌 성좌님들이라는 점이 조금 다르지만요.”

채널 관리자가 손가락을 튕기자, 퀘스트가 떴다.

[퀘스트: <신의 유희> 하드 모드로 진엔딩 보기]
▸보상: 방송 종료
▸실패: 사망

진엔딩의 조건은 4명의 남자주인공 중 하나와 이어지는 것. 
하지만 내가 빙의한 [테레제]는 모든 남주와의 상성이 최악이자 그들 손에 죽는 사망 루트만 수십 개인 악역이란 말이야!

“부디 대형 채널의 BJ가 되길 바랍니다.”

과연 내가 무사히 방송을 종료하고 이 게임에서 도망칠 수 있을까?",일,All,2163725,10529,104388,//page-images.kakaoentcdn.com/download/resource?kid=cjA1SX/hAJmAamB7G/XHmZhPNceJqgMAFtPtliK0&filename=o1,"로맨스판타지, 가족후회물, 착각물, 성장물, 역하렘, 빙의물, 왕족/귀족, 재벌남, 능력남, 냉정남, 능력녀, 걸크러쉬, 악녀, 라이벌/앙숙",37
56714856,"계모인데, 딸이 너무 귀여워","모구랭,이르",웹툰,로판,"다이어트도, 업무도 열심히 하면서 평범하게 살아가던 나 이백합….
과로사로 죽은 줄 알았는데 자신보다 예쁜 의붓딸을 질투한 나머지 딸을 독살하고,
결국 남편에게 처형되는 동화에 빙의했다?!

이대로 처형당할 수 없으니 귀엽고 사랑스러운 딸,
블랑슈와의 관계를 개선해 사망 플래그를 없애야 한다!

뭘 해도 귀여운 블랑슈에게 사랑을 퍼붓는 일은 즐거운데…

“우습군요. 부인이 언제부터 그렇게 블랑슈를 아꼈다고?”

망할 남편 놈이 날 자꾸 방해한다!

“저도 블랑슈의 부모입니다. 절 의심한 걸 사과하세요.""
“사과하지 않으면?” 
“오늘 밤 전하의 침소로 찾아가겠어요.”
“…….”
“특별히 아주 섹시한 속옷도 준비했답니다.”

나는 싱긋 웃으며 치명타를 날렸다.

“지금 당장 보여드릴까요?”

순식간에 일그러지는 남편의 얼굴이 아주 볼만했으니,
나는 계획한 대로 귀여운 딸 블랑슈를 덕질하며
행복한 두 번째 삶을 살 수 있을까?!

#딸덕질 #가족물 #로맨스코미디",수,All,49022806,267628,2668800,//page-images.kakaoentcdn.com/download/resource?kid=lqGwv/hAHIpnOOdf/m0Wbx3uwwtJ9aDyzPxtQvk&filename=o1,"로맨스판타지, 육아물, 성장물, 빙의물, 가족물, 첫사랑, 까칠남, 다정남, 왕족/귀족, 후회남, 냉정남, 걸크러쉬, 평범녀, 치유물, 힐링물",161
67190826,판타지 세계 속 바바리안으로 살아가기,"마구리,상단 스튜디오,파란영",웹툰,판타지,"매일 밤 세상의 모든 신에게 기도했다.
부디, 잠에서 깨어난 다음 날 자신이 환상의 한가운데 있기를.

그리고 어느 날 바라고 바라던 기도가 이루어졌다.
단지 그가 바라는 것과는 전혀 다른 형태로.

자고 일어나니 하얗디하얀 세계 백색의 설원 속 '바바리안'이 되었다.

'바바리안'이라는 종족은 생소했지만, 
판타지 세계에 들어왔다는 것에 벅찬 감정을 느끼며 꿈꿔왔던 이 세계에 대해 더 알고 싶어한다.
진지하게 세계를 알아가기 위해 평범한 바바리안들과 달리 인간의 말과 지식을 배웠으며, 
합법적으로 용병이란 신분을 취득하였으나, 

너무나도 위협적인 외형과 강력한 힘으로 인해 자꾸만 오해를 받게 되는데…",금,All,1813518,10185,100231,//page-images.kakaoentcdn.com/download/resource?kid=DS2hm/hAMBW2erwM/zYWRrqDu2CqP4kLs2WDlK0&filename=o1,"정통, 차원이동, 빙의, 먼치킨, 영웅/신화, 착각, 만능, 게임, 정령, 생존, 검사",30
51415682,나는 이 집 아이,"코튼,시야",웹툰,로판,"전생의 기억이 좀 있다는 것만 빼면 평범한(?) 사생아로서 시간을 보내왔다.
그러던 어느 날, 창녀인 어머니가 열한 살이 된 나를 아버지 앞으로 데리고 갔다.

“1만 골드를 줘요.”
“2만 골드를 주지. 대신 이것에서 손 떼.”

차가운 거래에 움츠러들어 있는데 그냥 부자인 줄 알았던 아버지가, 알고 보니 제국 유일의 공작이란다.

이제 난 어떻게 되는 걸까?
내가 정말 이 집 아이일까?",월,All,223815710,571658,5681851,//page-images.kakaoentcdn.com/download/resource?kid=dqP94v/hzCs9cUc8E/sWzKUTAnoIK8NdaIgykWKK&filename=o1,"로맨스판타지, 성장물, 가족물, 첫사랑, 능글남, 왕족/귀족, 상처남, 능력녀, 자상녀, 외유내강, 상처녀, 다정녀, 나이차커플, 권선징악",155
67306488,악당 삼촌이랑 살아요,"김개,산해,밤비",웹툰,로판,"내 이름은 아이카, 나이는 일곱 살.
특별한 게 있다면… 예지 능력이 있다는 것 정도?

***

사랑하는 엄마를 사고로 잃고, 삼촌에게 맡겨졌는데,
삼촌은 이 넓은 제국에서도 성격이 더럽기로 유명한 '악당'이었다.

""나한테 애 키우는 취미는 없어. 알아서 쥐 죽은 듯이 지내라?""

엄마를 쏙 빼닮은 삼촌이 나를 냉대하는 건 마음이 아팠지만,
삼촌이 위험해지는 미래를 본 이상 이대로 물러날 생각은 없다.
삼촌한테 껌딱지가 뭔지 제대로 보여주겠어.
…그랬는데, 어라?

""진짜 삼촌 버리고 갈 거야? 너 없이 삼촌 어떻게 살라고.""
이젠 삼촌이 내 껌딱지가 되고,

""나는 너 외에 다른 생각은 할 수조차 없어.""
순하기만 했던 소꿉친구가 집착하고,

""내게 다시 기회를 줄 수 있을까?""
얼굴도 모르는 아빠까지 나타나 애원한다?

구하겠다고 했지만, 이렇게까지 할 생각은 없었다고!",금,All,2050287,7812,77510,//page-images.kakaoentcdn.com/download/resource?kid=b9HY2j/dJMb9YiOYAL/I5lmQ4stgslr1zBJ3OraSK&filename=o1,"로맨스판타지, 육아물, 성장물, 가족물, 다정남, 짝사랑남, 순정남, 능력녀, 엉뚱발랄녀, 애교녀, 소꿉친구, 로맨틱코미디, 치유물, 힐링물, 순진녀",23
62831445,근육조선,"레이카,비컵남자,넛,차돌박E",웹툰,드라마,"“어?! 꺄아아앍아아악!!! 왜… 왜 갑자기 멸치가 된 거냐고!!!”

식품영양학과 전공, 생활스포츠지도사 자격증 1급, 헬창 중에 헬창 최영직!
그랬던 그가...
하루 아침에 그 풍성한 근육들을 모두 잃은채 
조선 4대왕 세종대왕의 둘째 자식, 수양대군의 몸으로 깨어난다. 

영직은 꿈인지 생시인지 자신의 아버지가 된 세종대왕을 알현하러 가게 되고,
그 훌륭한 세종대왕님을 직접 보게 될 생각에 흥분을 감추지 못하는데.
에..엥? 세종...대왕님???
웬 숨쉬기도 힘들어 보이는 배불뚝이 아저씨가 앉아있다.
고도비만에 당뇨병으로 보이는 세종대왕... 
지병과 병약한 몸뚱아리를 가진 문관들...
헬스 트레이너 15년차 최영직, 헬창의 긍지가 불타오르기 시작한다.

“자 어디한번 조선에서 쇠질 전파 좀 해볼까?!”",토,All,11294268,52346,518368,//page-images.kakaoentcdn.com/download/resource?kid=ct7jB1/hAFrS0AkDF/MKtRm2YDozoafYMo5pdXjK&filename=o1,"동양풍, 두근거리는, 판타지물",110
61822163,악당들에게 키워지는 중입니다,"율리(Terapin),이아송,자은향",웹툰,로판,"즐겨보던 로판 소설의 엑스트라 소녀로 빙의한 지 1년 만에 내가 곧 쫓겨날 신세라는 걸 알게 됐다. 
차라리 내 발로 집을 나가겠다고 했더니, 

“사실은 이 아이가 내 따님입니다. 그렇지, 따님?” 

사이코패스 망나니 공자의 눈에 들어 버렸다? 

‘놀이 후에 상대한테 준 돈이 섬 하나를 살 정도였다던데?’ 
그에게 어울려 주면 일확천금을 얻을 수 있다기에 훌륭히 딸 노릇을 하고, 몇 달 뒤 두둑해진 통장과 함께 자의 반 타의 반 집을 나왔다.
 
“내가 떠나라고 할 때까지 계속 내 곁에 있거라.” 

그런데, 나를 놀잇감으로 여기던 아빠가 날 찾아와 붙잡는다.",월,All,40243178,182451,1819874,//page-images.kakaoentcdn.com/download/resource?kid=ckPOn/hAMhpcspO9/XGwwbipbiJF0rvVesIMF3K&filename=o1,"로맨스판타지, 육아물, 성장물, 빙의물, 가족물, 수인물, 신데렐라, 능력녀, 무심녀, 철벽녀, 상처녀, 순진녀, 다정녀, 치유물, 힐링물",109
64257452,변경백 서자는 황제였다,"스튜디오 늘봄,지안,기준석",웹툰,판타지,"바리엘 제국의 마법사이자 어린 나이에 황제가 된 이안은 조카의 반란으로 감옥에 갇힌다.
이안을 구해주러 온 마법사 나움은 금지된 시공간 마법을 사용한다.

금지된 마법은 황제 이안을 과거 100년으로 이끌고
100년 전 멸문한 변경백 가문의 서자 이안에게 빙의한다.

서자 이안은 접경지인 야만족에게 볼모로 잡혀가기 직전!
이안은 살벌한 음모에 휘말리는데!!!

ⓒ 기준석, 스튜디오늘봄, 지안 / 판시아X서울미디어코믹스",일,All,10600926,59440,590531,//page-images.kakaoentcdn.com/download/resource?kid=Sd7uO/hAJjEqwMCf/rSvJbpN5pYUK4jeU1LSntK&filename=o1,"환생, 성장, 마법사, 왕족/귀족, 정통, 빙의, 회귀, 먼치킨, 영지, 천재, 정치가, 만능",82
60324617,입양된 며느리는 파양을 준비합니다,"햇님달님,녜,채유화",웹툰,로판,"남주 데미안을 괴롭히다 고아원에서 쫓겨나는
원생1 엘리의 몸에 빙의했다.
남주의 양부가 될 슈에츠 공작이 데미안을 찾는 데 일조하고
목숨만 부지하고자 했으나…

""저 아이도 함께 입양하지. 며느리로 들일 거다.""

네? 며느리? 며느리라고요??

당황스럽지만 여주인공 등장 전까지만
데미안을 조금 더 지켜주려 했다.

그런데 이젠―

""엘리, 정부는 안 돼.
난 질투가 많아서 그 자식을 죽여버릴지도 몰라.""
""내 생각도 마찬가지다, 엘리. 바람은 안 돼.""

데미안과 공작의 반응이 점점 더 심상치 않다?!

단역1 엘리의 사랑 넘치는 공작가 입양기,
<입양된 며느리는 파양을 준비합니다>",일,All,23521656,105404,1050511,//page-images.kakaoentcdn.com/download/resource?kid=e0TdC/hAJjHgmrSw/5uRhIvCvh04tlpw4zcMqH0&filename=o1,"로맨스판타지, 육아물, 회귀물, 가족물, 성장물, 운명, 순정남, 연하남, 애교남, 능력녀, 다정녀, 계략녀, 달달물, 치유물, 힐링물",103
