id,title,author,episode,view,synopsis,recommend,tag,img
https://novel.munpia.com/494686,헬난이도에서 다 해먹음,글 녹수(淥水),30 회,"218,685","농사부터 온천, 요리까지 진짜 헬 난이도에서 다 해 먹는다.","6,054",#현대판타지 #경영 #농사 #요리 #힐링 #귀농,https://cdn1.munpia.com/v2/files/cover/2025/0818/09/E4X35oocIAA
https://novel.munpia.com/493260,회귀한 줄 모르고 아내가 이혼소송 검,글 캡틴베어,30 회,"240,567","예능국 PD, 투자 천재. 감다산!
회귀하고나니 인성 터진 아내가 이혼하잔다.
오히려 좋아.
얽힌 악연들 손절하고 대박인생 살아보자!","4,186",#현대판타지 #연예계 #이혼 #주식 #투자 #회귀 #PD #투자가,https://cdn1.munpia.com/v2/files/tcover/2025/0819/19/E4e-6D-_AAA
https://novel.munpia.com/492763,회귀한 줄 모르고 천재 배우를 캐스팅함,글 열뚜시,35 회,"255,146","회귀 후 다시 연기에 도전했다. 첫 오디션, 모두가 말했다.
연기 천재가 나타났다고.","5,373",#현대판타지 #드라마 #복수 #천재 #연예계 #회귀 #배우 #남녀역전,https://cdn1.munpia.com/v2/files/tcover/2025/0812/13/E352R2rkMAA
https://novel.munpia.com/494871,조선이 핵잠수함을 가졌다.,글 MOOHA,35 회,"203,541","핵잠수함 백범김구함이 청일전쟁이 한창인 1894년에 나타났다.
가장 먼저 할 일은?
응, 너 폭격!","5,704",#현대판타지 #대체역사 #전쟁_밀리터리 #경영 #인공지능 #군인 #대한민국 #조선 #한국사 #군대,https://cdn1.munpia.com/v2/files/cover/2025/0818/17/E4ZmYR7cIAA
https://novel.munpia.com/492500,갓겜의 성능충 성기사,글 방구석용사,26 회,"204,156",성능만 쫓다보니 성자가 되었다,"7,834",#판타지 #게임 #게임시스템 #빙의 #이세계 #환생 #서양판타지 #성기사,https://cdn1.munpia.com/v2/files/tcover/2025/0710/00/E1M8FoiggAA
https://novel.munpia.com/493217,초능력자 딸내미랑 편의점 합니다,글 순두부정신,43 회,"216,610","누가 봐도 나랑 판박이인 여자아이가 인사했다.
“안녕, 아빠.”
와. 나중에 성형시켜주려면 돈 많이 벌어야겠다.
“혼날래요?”
생각이 읽혔다.","8,036",#현대판타지 #육아 #초능력 #힐링,https://cdn1.munpia.com/v2/files/cover/2025/0724/00/E2VL9nQTkAA
https://novel.munpia.com/494940,회귀자는 NBA가 너무 쉽다.,글 우주현인,36 회,"207,305","NBA의 최고 저니맨.
이번 생은 GOAT 한번 노려보자.","4,912",#스포츠 #농구 #재벌 #사이다 #회귀 #운동선수 #먼치킨,https://cdn1.munpia.com/v2/files/tcover/2025/0721/22/E2KVSGFkMAA
https://novel.munpia.com/490605,이혼 후 회귀한 먼치킨,글 안녕나작가,46 회,"536,334","초월급 헌터 김태웅, 이혼 후 회귀로 복수한다.","8,463",#복수 #이혼 #회귀 #헌터 #먼치킨 #나혼자,https://cdn1.munpia.com/v2/files/tcover/2025/0629/18/E0YSuIC0oAA
https://novel.munpia.com/492487,선협 속 수도자가 모든 전생을 기억함,글 김마멋,43 회,"235,612",그의 생은 한낱 미물(微物)에서부터 시작되었다.,"7,423",#선협 #전생 #환생 #동양판타지 #성장,https://cdn1.munpia.com/v2/files/tcover/2025/0709/22/E1MjaAXR8AA
https://novel.munpia.com/490408,달동네 약국에서 힐링합니다,글 B군,46 회,"280,372",내가 만든 약은 좀 많이 특별하다.,"9,945",#현대판타지 #천재 #힐링 #도깨비 #구원 #가족 #만능,https://cdn1.munpia.com/v2/files/tcover/2025/0704/10/E0wSNmrFcAA
