url,title,authors,weekday,tags,total_episodes,likes,synopsis,thumbnail_url,error
https://comic.naver.com/webtoon/list?titleId=654774,소녀의 세계,모랑지,월,"드라마, 설렘폭발, 공감, 우정, 청춘, 외유내강녀, 명랑녀, 햇살녀, 햇살캐, 힐링, 하이틴, 학원로맨스, 직진남, 청춘로맨스, 삼각관계, 까칠남, 감성드라마",475,1125471,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",https://shared-comic.pstatic.net/thumb/webtoon/654774/thumbnail/thumbnail_IMAG21_1209b520-bcd9-4031-b76f-bc8a7f5527fd.jpg,
https://comic.naver.com/webtoon/list?titleId=671421,언덕 위의 제임스,쿠당탕,수,"개그, 열혈병맛개그, 블랙코미디, 옴니버스, 병맛, 가벼운",504,155925,"제임스들이 펼치는 코믹 막장 에피소드!
지금 전세계의 제임스들이 몰려온다",https://shared-comic.pstatic.net/thumb/webtoon/671421/thumbnail/thumbnail_IMAG21_7643171d-08fb-40a8-9da1-813a3b7e784f.jpg,
https://comic.naver.com/webtoon/list?titleId=698918,원주민 공포만화,원주민,화,"스릴러, 오컬트판타지, 병맛, 개그, 오컬트, 4차원, 서스펜스, 괴담",422,298719,"끝날 때까지 끝난 것이 아니다!
마지막까지 방심할 수 없는 다양한 에피소드.
당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다!",https://shared-comic.pstatic.net/thumb/webtoon/698918/thumbnail/thumbnail_IMAG21_3689346629442483042.jpg,
https://comic.naver.com/webtoon/list?titleId=703630,어글리후드,미애,토,"판타지, 이능력, 배틀, 우정, 가족, 세계관, 최강자전, 2017 최강자전, 힘숨찐, sf, 이능력배틀물, 사이비종교, 먼치킨, 걸크러시",338,309930,"외계인이 유일신으로 군림한 미친 세상,
바꾸고싶다면 사탄이 되어라",https://shared-comic.pstatic.net/thumb/webtoon/703630/thumbnail/thumbnail_IMAG21_5501365b-0934-4683-b4a8-cc76ef1ec585.jpg,
https://comic.naver.com/webtoon/list?titleId=703839,홍시는 날 좋아해!,"강하다, 웃는해",토,"로맨스, 설렘폭발, 캠퍼스, 청춘, 공식미남, 연하남, 연상녀, 평범녀, 철벽녀, 햇살캐, 학원로맨스, 청춘로맨스, 까칠남",336,354647,"스무 살 고3 홍시호가 전학 왔어요! 방긋방긋 웃는 모습 뒤에는 어떤 비밀이...?
단내 나는 홍시가 예쁘게 여물어가는 이야기.",https://shared-comic.pstatic.net/thumb/webtoon/703839/thumbnail/thumbnail_IMAG21_25d73f71-25e2-4328-8634-1062f796dc67.jpg,
https://comic.naver.com/webtoon/list?titleId=715206,ㅋㄷㅋㄷ만화,교교박,수,일상,51,42872,본 컨텐츠는 질병관리청의 브랜드 웹툰으로 교교박 작가가 전하는 에이즈 및 성매개감염병 예방 캠페인입니다.,https://shared-comic.pstatic.net/thumb/webtoon/715206/thumbnail/thumbnail_IMAG21_5c7a6b96-ec34-41d0-99f8-a8aeffc1ed42.jpg,
https://comic.naver.com/webtoon/list?titleId=717481,일렉시드,"손제호, 제나",수,"액션, 이능력, 배틀, 아카데미물, 세계관, 학원물, 이능력배틀물, 인외존재, 성장드라마, 동물, 먼치킨",364,578155,"<노블레스> 손제호 작가와 <소녀더와일즈> 제나 작가가 만났다!
고양이 몸에 깃든 각성자 카이든과 각성능력을 숨겨온 고등학생 지우
러블리 2인조의 액션 판타지",https://shared-comic.pstatic.net/thumb/webtoon/717481/thumbnail/thumbnail_IMAG21_3545800975505057126.jpg,
https://comic.naver.com/webtoon/list?titleId=721948,"스터디그룹
휴재","신형욱, 유승연",토,"액션, 블루스트링, 힘숨찐, 학원물",292,732592,"우등생을 꿈꾸는 최강 소년의 고교액션활극.
공부를 잘 하고 싶지만 애석하게도 싸움 실력에만 재능이 몰빵된 고등학생 윤가민.
똥통학교 유성공고에서 스터디그룹을 만드는데….
그와 스터디 멤버들의 (진짜로) 피튀기는 입시이야기!",https://shared-comic.pstatic.net/thumb/webtoon/721948/thumbnail/thumbnail_IMAG21_c03c888e-0610-4f6b-b834-422463871d2f.jpg,
https://comic.naver.com/webtoon/list?titleId=724815,아홉수 우리들,수박양,토,"로맨스, 리얼로맨스, 공감, 현대, 청춘, 능력남, 아방녀, 소심녀, 능력녀, 다정남, 하이퍼리얼리즘, 감성드라마",266,477402,"연애, 직장, 시험 어느 하나 뜻대로 되지 않는 29살 봉우리, 차우리, 김우리.
제대로 걸렸다! 아.홉.수!
우리들의 팩트폭행 로맨틱 코미디!",https://shared-comic.pstatic.net/thumb/webtoon/724815/thumbnail/thumbnail_IMAG21_08aa1511-f7aa-412a-bbcd-8f6504f0da76.jpg,
https://comic.naver.com/webtoon/list?titleId=725586,1초,"시니, 광운",금,"드라마, 눈물샘자극, 현대, 이능력, 청춘, 직업드라마, 서스펜스, 성장드라마",318,607632,"구조율 100%의 전설적인 소방관.
그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것!
촌각을 다투는 진짜 소방관들의 이야기",https://shared-comic.pstatic.net/thumb/webtoon/725586/thumbnail/thumbnail_IMAG21_aac005dc-11a7-41b6-a127-4ffa5b480698.jpg,
